date,draw_no,n1,n2,n3,n4,n5,bonus,numbers
2021-11-07,89,2,21,29,31,32,8,2 21 29 31 32
2021-11-10,90,6,9,15,30,32,14,6 9 15 30 32
2021-11-14,91,12,17,24,25,34,8,12 17 24 25 34
2021-11-17,92,2,7,8,9,21,14,2 7 8 9 21
2021-11-21,93,4,11,14,27,31,4,4 11 14 27 31
2021-11-24,94,9,16,24,26,30,11,9 16 24 26 30
2021-11-28,95,2,4,19,31,33,14,2 4 19 31 33
2021-12-01,96,11,24,25,28,29,13,11 24 25 28 29
2021-12-05,97,6,7,9,26,33,7,6 7 9 26 33
2021-12-08,98,1,12,16,24,30,8,1 12 16 24 30
2021-12-12,99,3,13,15,26,30,12,3 13 15 26 30
2021-12-15,100,2,7,12,17,28,10,2 7 12 17 28
2021-12-19,101,3,6,7,18,23,8,3 6 7 18 23
2021-12-22,102,4,7,14,15,22,7,4 7 14 15 22
2021-12-26,103,22,23,26,30,34,11,22 23 26 30 34
2021-12-29,104,6,13,21,29,33,9,6 13 21 29 33
2022-01-02,1,8,12,13,15,23,11,8 12 13 15 23
2022-01-05,2,5,13,21,23,24,9,5 13 21 23 24
2022-01-12,4,2,7,15,31,34,13,2 7 15 31 34
2022-01-16,5,4,5,14,28,30,13,4 5 14 28 30
2022-01-19,6,12,13,24,32,34,12,12 13 24 32 34
2022-01-23,7,2,4,12,17,28,6,2 4 12 17 28
2022-01-26,8,3,8,11,17,20,13,3 8 11 17 20
2022-01-30,9,9,19,27,28,34,12,9 19 27 28 34
2022-02-02,10,7,12,27,29,33,14,7 12 27 29 33
2022-02-06,11,3,19,20,27,31,11,3 19 20 27 31
2022-02-09,12,4,10,12,33,34,12,4 10 12 33 34
2022-02-13,13,5,6,8,14,19,5,5 6 8 14 19
2022-02-16,14,4,17,24,31,34,13,4 17 24 31 34
2022-02-20,15,3,21,23,24,27,13,3 21 23 24 27
2022-02-23,16,5,15,18,23,28,5,5 15 18 23 28
2022-02-27,17,2,9,10,25,32,8,2 9 10 25 32
2022-03-02,18,15,18,20,21,22,5,15 18 20 21 22
2022-03-06,19,1,5,10,19,31,12,1 5 10 19 31
2022-03-09,20,4,5,6,17,27,9,4 5 6 17 27
2022-03-16,22,4,11,15,22,28,9,4 11 15 22 28
2022-03-20,23,2,3,13,17,21,14,2 3 13 17 21
2022-03-23,24,6,11,14,23,25,2,6 11 14 23 25
2022-03-27,25,2,3,8,12,13,5,2 3 8 12 13
2022-03-30,26,9,11,13,20,30,11,9 11 13 20 30
2022-04-03,27,18,21,26,29,30,7,18 21 26 29 30
2022-04-06,28,5,6,7,11,30,11,5 6 7 11 30
2022-04-10,29,10,15,21,27,34,3,10 15 21 27 34
2022-04-13,30,11,14,20,24,28,7,11 14 20 24 28
2022-04-17,31,3,21,23,25,34,11,3 21 23 25 34
2022-04-20,32,8,12,21,23,31,12,8 12 21 23 31
2022-04-24,33,3,9,11,15,34,6,3 9 11 15 34
2022-04-27,34,2,4,6,12,14,10,2 4 6 12 14
2022-05-01,35,4,12,20,22,30,9,4 12 20 22 30
2022-05-04,36,1,2,14,18,32,7,1 2 14 18 32
2022-05-08,37,3,22,23,29,30,9,3 22 23 29 30
2022-05-11,38,9,14,16,21,30,10,9 14 16 21 30
2022-05-15,39,7,8,16,22,27,3,7 8 16 22 27
2022-05-18,40,6,10,16,19,27,13,6 10 16 19 27
2022-05-22,41,1,12,16,22,24,1,1 12 16 22 24
2022-05-25,42,5,7,13,17,28,12,5 7 13 17 28
2022-05-29,43,1,6,13,18,23,1,1 6 13 18 23
2022-06-01,44,1,6,9,15,20,3,1 6 9 15 20
2022-06-05,45,13,18,22,23,31,11,13 18 22 23 31
2022-06-08,46,1,15,18,20,25,2,1 15 18 20 25
2022-06-12,47,1,14,21,24,26,12,1 14 21 24 26
2022-06-15,48,6,7,11,25,29,14,6 7 11 25 29
2022-06-19,49,25,26,29,31,33,13,25 26 29 31 33
2022-06-22,50,2,8,10,14,23,1,2 8 10 14 23
2022-06-26,51,1,5,15,19,20,1,1 5 15 19 20
2022-06-29,52,1,15,19,27,29,1,1 15 19 27 29
2022-07-03,53,2,5,14,21,31,3,2 5 14 21 31
2022-07-06,54,4,13,27,28,29,5,4 13 27 28 29
2022-07-10,55,2,9,26,30,33,11,2 9 26 30 33
2022-07-13,56,1,7,9,10,27,3,1 7 9 10 27
2022-07-17,57,4,10,14,16,23,6,4 10 14 16 23
2022-07-20,58,3,4,20,31,34,4,3 4 20 31 34
2022-07-24,59,13,18,20,21,27,12,13 18 20 21 27
2022-07-27,60,2,7,18,32,33,7,2 7 18 32 33
2022-07-31,61,11,12,22,31,32,1,11 12 22 31 32
